config_id,actor_lr_min,actor_lr_max,base_noise
0,0.0001,0.0001,0.5
1,0.0001,0.0001,1.0
2,0.0001,0.0001,1.5
3,0.0001,0.0001,2.0
4,0.0001,0.0001,3.0
5,0.0003,0.0003,0.5
6,0.0003,0.0003,1.0
7,0.0003,0.0003,1.5
8,0.0003,0.0003,2.0
9,0.0003,0.0003,3.0
10,0.0005,0.0005,0.5
11,0.0005,0.0005,1.0
12,0.0005,0.0005,1.5
13,0.0005,0.0005,2.0
14,0.0005,0.0005,3.0
15,0.001,0.001,0.5
16,0.001,0.001,1.0
17,0.001,0.001,1.5
18,0.001,0.001,2.0
19,0.001,0.001,3.0
20,0.003,0.003,0.5
21,0.003,0.003,1.0
22,0.003,0.003,1.5
23,0.003,0.003,2.0
24,0.003,0.003,3.0
